Organization,City,Type,Email,Phone,Address,Website,Email Status,Notes
Austin Creative Alliance,Austin,Arts service/advocacy nonprofit,info@austincreativealliance.org,,"81 San Marcos St, Suite C1, Austin, TX 78702",https://www.austincreativealliance.org,Verified,501c3 serving music/arts/culture sector; fiscal sponsor
Creative Action,Austin,Arts education nonprofit,info@creativeaction.org,,"1023 Springdale Rd, Building 3, Austin, TX 78721",https://creativeaction.org,Verified,Youth arts & community programs
Art Alliance Austin (A3Austin),Austin,Visual arts nonprofit,info@A3Austin.org,(512) 588-0369,"9600 Escarpment Blvd, Ste 745-106, Austin, TX",https://www.facebook.com/ArtAllianceAustin/,Verified,Connects artists collectors & community
TIPS On Art,Austin,Arts nonprofit,tipsonart@yahoo.com,512-288-4897,,https://www.tipsonart.org,Verified,Cultivating people art and community
Mexic-Arte Museum,Austin,Museum,luisap@mexic-artemuseum.org,(512) 480-9373,"419 Congress Ave, Austin, TX 78701",https://mexic-artemuseum.org,Verified,Mexican & Latin American art; general line (512) 480-9373
Blanton Museum of Art,Austin,Museum,,(512) 471-9192,"200 E MLK Jr Blvd, Austin, TX 78701",https://blantonmuseum.org,Use contact form,UT Austin museum; Director's Office line listed
Austin Visual Arts Association (AVAA),Austin,Visual arts nonprofit,,512.922.3104,"Austin Art Space, 7739 Northcross Dr, Austin, TX 78757",https://avaaonline.org/contact,Use contact form,Est 1977; contact form on site
Women & Their Work,Austin,Gallery/nonprofit,,,"1311 E Cesar Chavez St, Austin, TX",https://womenandtheirwork.org,Check website,Contemporary art by Texas women
Big Medium,Austin,Visual arts nonprofit,,,Austin TX,https://bigmedium.org,Check website,Organizes EAST/WEST Austin Studio Tours
Round Rock Arts,Round Rock,Arts council nonprofit,info@RoundRockArts.org,,"Round Rock, TX",https://roundrockarts.org,Verified,Supports artists in Round Rock & Central TX
Georgetown Arts & Culture (Georgetown Art Center),Georgetown,Municipal arts program,Arts@georgetown.org,,"Georgetown, TX",https://arts.georgetown.org,Verified,Now manages former Georgetown Art Works programs
San Marcos Arts Commission,San Marcos,Municipal arts commission,ghatt@sanmarcostx.gov,,"San Marcos, TX",https://www.visitsanmarcos.com/arts/commission/,Verified,Contact: Trey Hatt Arts Coordinator
Creative Waco,Waco,Arts development agency,info@creativewaco.org,,"Waco, TX",https://creativewaco.org,Likely (verify),Nonprofit arts agency for Waco & McLennan County
