Organization,City,Type,Email,Phone,Address,Website,Email Status,Notes
Austin Creative Alliance,Austin,Arts service/advocacy nonprofit,info@austincreativealliance.org,,"81 San Marcos St, Suite C1, Austin, TX 78702",https://www.austincreativealliance.org,Verified,501c3 serving music/arts/culture sector; fiscal sponsor
Creative Action,Austin,Arts education nonprofit,info@creativeaction.org,,"1023 Springdale Rd, Building 3, Austin, TX 78721",https://creativeaction.org,Verified,Youth arts & community programs
Art Alliance Austin (A3Austin),Austin,Visual arts nonprofit,info@A3Austin.org,(512) 588-0369,"9600 Escarpment Blvd, Ste 745-106, Austin, TX",https://www.facebook.com/ArtAllianceAustin/,Verified,Connects artists collectors & community
TIPS On Art,Austin,Arts nonprofit,tipsonart@yahoo.com,512-288-4897,,https://www.tipsonart.org,Verified,Cultivating people art and community
Mexic-Arte Museum,Austin,Museum,luisap@mexic-artemuseum.org,(512) 480-9373,"419 Congress Ave, Austin, TX 78701",https://mexic-artemuseum.org,Verified,Mexican & Latin American art; general line (512) 480-9373
Blanton Museum of Art,Austin,Museum,,(512) 471-9192,"200 E MLK Jr Blvd, Austin, TX 78701",https://blantonmuseum.org,Use contact form,UT Austin museum; Director's Office line listed
Austin Visual Arts Association (AVAA),Austin,Visual arts nonprofit,,512.922.3104,"Austin Art Space, 7739 Northcross Dr, Austin, TX 78757",https://avaaonline.org/contact,Use contact form,Est 1977; contact form on site
Women & Their Work,Austin,Gallery/nonprofit,,,"1311 E Cesar Chavez St, Austin, TX",https://womenandtheirwork.org,Check website,Contemporary art by Texas women
Big Medium,Austin,Visual arts nonprofit,,,Austin TX,https://bigmedium.org,Check website,Organizes EAST/WEST Austin Studio Tours
Round Rock Arts,Round Rock,Arts council nonprofit,info@RoundRockArts.org,,"Round Rock, TX",https://roundrockarts.org,Verified,Supports artists in Round Rock & Central TX
Georgetown Arts & Culture (Georgetown Art Center),Georgetown,Municipal arts program,Arts@georgetown.org,,"Georgetown, TX",https://arts.georgetown.org,Verified,Now manages former Georgetown Art Works programs
San Marcos Arts Commission,San Marcos,Municipal arts commission,ghatt@sanmarcostx.gov,,"San Marcos, TX",https://www.visitsanmarcos.com/arts/commission/,Verified,Contact: Trey Hatt Arts Coordinator
Creative Waco,Waco,Arts development agency,info@creativewaco.org,,"Waco, TX",https://creativewaco.org,Likely (verify),Nonprofit arts agency for Waco & McLennan County
Art Center Waco,Waco,Art center/gallery,info@artcenterwaco.org,254.752.4371,"701 S 8th St, Waco, TX 76706",https://artcenterwaco.org,Verified,Visual art exhibits & classes in silo district
Cultural Arts of Waco,Waco,Arts nonprofit,,,"Waco, TX",https://culturalartswaco.org,Check website,Est 2004 501c3; "Drawing People Together"
Temple Symphony Orchestra,Temple,Performing arts nonprofit,,,"Temple, TX (Bell County)",https://www.templesymphonyorchestra.org,Check website,Symphonic concerts in Bell County
Salado Village Artists,Salado,Visual arts nonprofit,,,"Salado, TX",https://www.facebook.com/saladovillageartists/,Check Facebook,Founded 1996; visual arts group
Killeen Civic Art Guild,Killeen,Visual arts nonprofit,,,"Killeen, TX",,Check website,Founded 2011; visual arts org
The Contemporary Austin,Austin,Contemporary art museum,info@thecontemporaryaustin.org,512.453.5312,"700 Congress Ave, Austin, TX 78701",https://thecontemporaryaustin.org,Verified,"Contemporary art museum (Jones Center + Laguna Gloria); info email on official Contact page"
Ballet Austin,Austin,Dance company,info@balletaustin.org,512.476.9151,"501 W 3rd St, Austin, TX 78701",https://balletaustin.org,Verified,"Major professional ballet co; info email on official Contact page"
ZACH Theatre,Austin,Theater,groups@zachtheatre.org,512.476.0541,"202 S Lamar Blvd, Austin, TX 78704",https://www.zachtheater.org,Verified,"Leading regional nonprofit theatre; group-sales email (find marketing contact before pitch)"
Lost Pines Art Center,Bastrop,Art center / gallery,art@lostpinesartcenter.org,512.321.8055,"1204 Chestnut St, Bastrop, TX 78602",https://www.lostpinesartcenter.org,Verified,"Regional art center w/ studios & exhibits; info email via Chamber listing & site"
Greater New Braunfels Arts Council,New Braunfels,Arts council,gnbartscouncil@gmail.com,512.980.4399,"271 Grandview Ave, New Braunfels, TX 78130",https://www.gnbac.org,Likely (verify),"Multi-disciplinary arts council; email from Charity Navigator/990 profile"
Inspired Minds Art Center,Buda,Art center / gallery,info@inspiredminds.art,512.256.0181,"121 Main St, Buda, TX 78610",https://www.inspiredminds.art,Verified,"Nonprofit art+theatre center w/ gallery & Chambers Theatre; info email on Contact page"
Eye of the Dog Art Center,San Marcos,Art center / studios,eyeofthedogartcenter@gmail.com,512.558.1723,"405 Valley View West Rd, San Marcos, TX 78666",https://www.eyeofthedogartcenter.com,Verified,"Ceramics/glass arts-ed center; email on site & directories"
Hill Country Theatre,Buda,Theater,,512.710.8450,"121 Main St, Buda, TX 78610",https://www.hillcountrytheatre.org,Check website,"Community performing-arts theatre in downtown Buda; no public email found"
Wimberley Valley Arts & Cultural Alliance,Wimberley,Arts & cultural alliance,,512.847.2201,"PO Box 608, Wimberley, TX 78676",https://www.wimberleyarts.org,Use contact form,"Arts membership/cultural-district org; contact form at wimberleyarts.org/about"
Pflugerville Arts Council / Pfun Arts,Pflugerville,Art center / arts council,,512.955.0403,"401 W Pecan St Ste F, Pflugerville, TX 78660",https://pfunarts.com,Check website,"501c3 arts council + downtown art center; no public email found"
